Timestamp,Vehicle_Model,Manufacturing_Date,Road_Surface,Operating_Condition,Total_Noise_Level_dB,Total_Vibration_ms2,Harshness_Score,Customer_Feedback,Customer_Comments,Engine_Noise_dB,Exhaust_Noise_dB,Tires_Noise_dB,Wind_Noise_dB,Suspension_Noise_dB,Steering_Wheel_Vibration_ms2,Driver_Seat_Vibration_ms2,Floor_Pan_Vibration_ms2,Dashboard_Vibration_ms2,Rear_Seat_Vibration_ms2
2023-02-08 12:40:00,Truck D,2021-06-15 12:40:00,Gravel,Idle,70.13769841127962,0.5805240551507799,5.132737321172075,Poor,"Excessive interior noise. Comfortable with minimal vibrations. Acceptable ride comfort, some harshness.",60.85587869919261,60.79799457591079,63.36237437529614,66.46224752839821,61.15788582706804,0.5093401453311744,0.6658559076620767,0.587162778220633,0.5524079004750343,0.5878535440649808
2023-08-04 22:11:00,Sedan A,2022-08-23 22:11:00,Rough Asphalt,Idle,61.17975849325109,0.39910448186799324,2.8444611550907952,Good,Comfortable noise levels. Comfortable with minimal vibrations. Good ride quality overall.,52.45864835391332,54.9658067271088,,54.626211476733445,54.371447797700846,0.36979810428335436,0.4067968703713657,0.35660095218109755,0.4384564212186299,0.42387006128551874
2023-08-05 20:14:00,Coupe E,2021-11-19 20:14:00,Concrete,Highway,62.55294262854913,0.35243696787952306,2.424118013661522,Good,Comfortable noise levels. Comfortable with minimal vibrations. Good ride quality overall.,57.3081712308588,53.430085710252335,53.269001838951574,55.21556256014438,56.96491405219202,0.3546203994988571,0.38462829411002797,0.37905677314245845,0.34925369756744784,0.29462567507882365
2023-02-01 04:55:00,Truck D,2020-03-19 04:55:00,Dirt,Idle,67.73815985943872,0.631057253881881,5.98377444466088,Average,"Noticeable but acceptable noise. Noticeable vibrations, but acceptable. Acceptable ride comfort, some harshness.",,61.80622724243975,61.93398626422269,58.618188086621906,60.332795913516755,0.6203631608467569,0.688505472982008,0.6314036322773058,,0.6401627329790516
2023-07-25 04:17:00,Coupe E,2022-02-26 04:17:00,Smooth Asphalt,Idle,56.471181375586255,0.3317831092126191,2.792747928822153,Good,Impressively quiet interior. Comfortable with minimal vibrations. Good ride quality overall.,48.337768762134694,51.76954946525641,,48.57174832618769,49.51865142341341,0.30074662745776914,0.3337222110327685,0.34451061808032923,0.33994380419136416,0.3399922853008644
2023-12-04 11:32:00,Truck D,2023-01-08 11:32:00,Rough Asphalt,City,70.98444926196423,0.6428217347283482,5.202305690397954,Poor,"Excessive interior noise. Noticeable vibrations, but acceptable. Acceptable ride comfort, some harshness.",65.31068547541165,,61.901146579172156,66.77299337463728,60.140568324829474,0.5726901079515717,0.6539983964259458,0.6969741942236907,0.6622329700697227,0.62821300497081
2023-09-06 16:25:00,Hatchback C,2021-08-29 16:25:00,Gravel,Highway,,0.5435573216199143,3.582269165692601,Average,Noticeable but acceptable noise. Comfortable with minimal vibrations. Good ride quality overall.,62.6098123135124,55.554860653574025,60.38454941842894,55.478992255270455,60.807022630472815,0.5517820403918577,0.493268502369351,0.5770812649442844,0.5339214818880332,0.5617333185060451
2023-04-17 16:25:00,Hatchback C,2021-09-08 16:25:00,Rough Asphalt,Idle,61.47952212571123,0.4542100604112996,3.4273683256336422,Good,Comfortable noise levels. Comfortable with minimal vibrations. Good ride quality overall.,49.43058263644532,58.41373932423094,52.87169655473936,48.30552209457991,55.596022564552825,0.42343807272005735,0.4017062532500884,0.4891887058501305,0.5031101725586865,0.4536070976775351
2023-02-27 11:22:00,SUV B,2020-03-03 11:22:00,Gravel,Highway,,0.5380863102565612,,Poor,"Excessive interior noise. Comfortable with minimal vibrations. Acceptable ride comfort, some harshness.",64.39355161214385,67.24425054348474,60.87014825596736,61.84260718276557,57.05151840720806,0.6034479812766819,0.5730763138823443,0.49459714560688184,,0.5654997231743829
2023-08-05 23:05:00,Truck D,2021-12-28 23:05:00,Rough Asphalt,Idle,68.73047334543458,0.5683368833645419,4.836698933178477,Average,"Noticeable but acceptable noise. Comfortable with minimal vibrations. Acceptable ride comfort, some harshness.",59.85066288781802,64.79196361709866,60.522674806425975,56.80562545781393,62.73601190430648,0.6201981728226658,0.5305605645324403,0.5023666696166418,0.5400063470807595,0.6485526627702025
